file_committee_abbrev,committee_name,committee_code,subcommittee_name,subcommittee_code,member_first,member_last,state,party,position,majority_party,source_file,full_name,committee_name_hierarchy,subcommittee_name_hierarchy,level
JSEC,Joint Economic Committee,JSEC00,,MAIN,Marsha,Blackburn,TN,R,Member,R,committee_memberships_JSEC.xml,Marsha Blackburn,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Ted,Budd,NC,R,Member,R,committee_memberships_JSEC.xml,Ted Budd,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Tom,Cotton,AR,R,Member,R,committee_memberships_JSEC.xml,Tom Cotton,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Margaret Wood,Hassan,NH,D,Ranking,R,committee_memberships_JSEC.xml,Margaret Wood Hassan,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Martin,Heinrich,NM,D,Member,R,committee_memberships_JSEC.xml,Martin Heinrich,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Mark,Kelly,AZ,D,Member,R,committee_memberships_JSEC.xml,Mark Kelly,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Amy,Klobuchar,MN,D,Member,R,committee_memberships_JSEC.xml,Amy Klobuchar,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,David,McCormick,PA,R,Member,R,committee_memberships_JSEC.xml,David McCormick,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Ashley,Moody,FL,R,Member,R,committee_memberships_JSEC.xml,Ashley Moody,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Eric,Schmitt,MO,R,Vice Chairman,R,committee_memberships_JSEC.xml,Eric Schmitt,Joint Economic Committee,Main Committee,Main Committee
JSLC,Joint Committee of Congress on the Library,JSLC00,,MAIN,Deb,Fischer,NE,R,Member,R,committee_memberships_JSLC.xml,Deb Fischer,Joint Committee of Congress on the Library,Main Committee,Main Committee
JSLC,Joint Committee of Congress on the Library,JSLC00,,MAIN,Cindy,Hyde-Smith,MS,R,Member,R,committee_memberships_JSLC.xml,Cindy Hyde-Smith,Joint Committee of Congress on the Library,Main Committee,Main Committee
JSLC,Joint Committee of Congress on the Library,JSLC00,,MAIN,Amy,Klobuchar,MN,D,Member,R,committee_memberships_JSLC.xml,Amy Klobuchar,Joint Committee of Congress on the Library,Main Committee,Main Committee
JSLC,Joint Committee of Congress on the Library,JSLC00,,MAIN,Mitch,McConnell,KY,R,Vice Chairman,R,committee_memberships_JSLC.xml,Mitch McConnell,Joint Committee of Congress on the Library,Main Committee,Main Committee
JSLC,Joint Committee of Congress on the Library,JSLC00,,MAIN,Alex,Padilla,CA,D,Member,R,committee_memberships_JSLC.xml,Alex Padilla,Joint Committee of Congress on the Library,Main Committee,Main Committee
JSPR,Joint Committee on Printing,JSPR00,,MAIN,Deb,Fischer,NE,R,Member,R,committee_memberships_JSPR.xml,Deb Fischer,Joint Committee on Printing,Main Committee,Main Committee
JSPR,Joint Committee on Printing,JSPR00,,MAIN,Bill,Hagerty,TN,R,Member,R,committee_memberships_JSPR.xml,Bill Hagerty,Joint Committee on Printing,Main Committee,Main Committee
JSPR,Joint Committee on Printing,JSPR00,,MAIN,Mitch,McConnell,KY,R,Chairman,R,committee_memberships_JSPR.xml,Mitch McConnell,Joint Committee on Printing,Main Committee,Main Committee
JSPR,Joint Committee on Printing,JSPR00,,MAIN,Jeff,Merkley,OR,D,Member,R,committee_memberships_JSPR.xml,Jeff Merkley,Joint Committee on Printing,Main Committee,Main Committee
JSPR,Joint Committee on Printing,JSPR00,,MAIN,Alex,Padilla,CA,D,Member,R,committee_memberships_JSPR.xml,Alex Padilla,Joint Committee on Printing,Main Committee,Main Committee
JSTX,Joint Committee on Taxation,JSTX00,,MAIN,Maria,Cantwell,WA,D,Member,R,committee_memberships_JSTX.xml,Maria Cantwell,Joint Committee on Taxation,Main Committee,Main Committee
JSTX,Joint Committee on Taxation,JSTX00,,MAIN,John,Cornyn,TX,R,Member,R,committee_memberships_JSTX.xml,John Cornyn,Joint Committee on Taxation,Main Committee,Main Committee
JSTX,Joint Committee on Taxation,JSTX00,,MAIN,Mike,Crapo,ID,R,Chairman,R,committee_memberships_JSTX.xml,Mike Crapo,Joint Committee on Taxation,Main Committee,Main Committee
JSTX,Joint Committee on Taxation,JSTX00,,MAIN,Chuck,Grassley,IA,R,Member,R,committee_memberships_JSTX.xml,Chuck Grassley,Joint Committee on Taxation,Main Committee,Main Committee
JSTX,Joint Committee on Taxation,JSTX00,,MAIN,Ron,Wyden,OR,D,Member,R,committee_memberships_JSTX.xml,Ron Wyden,Joint Committee on Taxation,Main Committee,Main Committee
SLET,Select Committee on Ethics,SLET00,,MAIN,Christopher A.,Coons,DE,D,Vice Chairman,R,committee_memberships_SLET.xml,Christopher A. Coons,Select Committee on Ethics,Main Committee,Main Committee
SLET,Select Committee on Ethics,SLET00,,MAIN,Deb,Fischer,NE,R,Member,R,committee_memberships_SLET.xml,Deb Fischer,Select Committee on Ethics,Main Committee,Main Committee
SLET,Select Committee on Ethics,SLET00,,MAIN,James,Lankford,OK,R,Chairman,R,committee_memberships_SLET.xml,James Lankford,Select Committee on Ethics,Main Committee,Main Committee
SLET,Select Committee on Ethics,SLET00,,MAIN,James  E.,Risch,ID,R,Member,R,committee_memberships_SLET.xml,James  E. Risch,Select Committee on Ethics,Main Committee,Main Committee
SLET,Select Committee on Ethics,SLET00,,MAIN,Brian,Schatz,HI,D,Member,R,committee_memberships_SLET.xml,Brian Schatz,Select Committee on Ethics,Main Committee,Main Committee
SLET,Select Committee on Ethics,SLET00,,MAIN,Jeanne,Shaheen,NH,D,Member,R,committee_memberships_SLET.xml,Jeanne Shaheen,Select Committee on Ethics,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Maria,Cantwell,WA,D,Member,R,committee_memberships_SLIA.xml,Maria Cantwell,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Catherine,Cortez Masto,NV,D,Member,R,committee_memberships_SLIA.xml,Catherine Cortez Masto,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Steve,Daines,MT,R,Member,R,committee_memberships_SLIA.xml,Steve Daines,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,John,Hoeven,ND,R,Member,R,committee_memberships_SLIA.xml,John Hoeven,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Ben Ray,Lujan,NM,D,Member,R,committee_memberships_SLIA.xml,Ben Ray Lujan,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Jerry,Moran,KS,R,Member,R,committee_memberships_SLIA.xml,Jerry Moran,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Markwayne,Mullin,OK,R,Member,R,committee_memberships_SLIA.xml,Markwayne Mullin,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Lisa,Murkowski,AK,R,Chairman,R,committee_memberships_SLIA.xml,Lisa Murkowski,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Mike,Rounds,SD,R,Member,R,committee_memberships_SLIA.xml,Mike Rounds,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Brian,Schatz,HI,D,Vice Chairman,R,committee_memberships_SLIA.xml,Brian Schatz,Committee on Indian Affairs,Main Committee,Main Committee
SLIA,Committee on Indian Affairs,SLIA00,,MAIN,Tina,Smith,MN,D,Member,R,committee_memberships_SLIA.xml,Tina Smith,Committee on Indian Affairs,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Michael F.,Bennet,CO,D,Member,R,committee_memberships_SLIN.xml,Michael F. Bennet,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Ted,Budd,NC,R,Member,R,committee_memberships_SLIN.xml,Ted Budd,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Susan M.,Collins,ME,R,Member,R,committee_memberships_SLIN.xml,Susan M. Collins,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,John,Cornyn,TX,R,Member,R,committee_memberships_SLIN.xml,John Cornyn,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Tom,Cotton,AR,R,Chairman,R,committee_memberships_SLIN.xml,Tom Cotton,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Kirsten E.,Gillibrand,NY,D,Member,R,committee_memberships_SLIN.xml,Kirsten E. Gillibrand,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Martin,Heinrich,NM,D,Member,R,committee_memberships_SLIN.xml,Martin Heinrich,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Mark,Kelly,AZ,D,Member,R,committee_memberships_SLIN.xml,Mark Kelly,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Angus S.,King,ME,D,Member,R,committee_memberships_SLIN.xml,Angus S. King,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,James,Lankford,OK,R,Member,R,committee_memberships_SLIN.xml,James Lankford,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Jerry,Moran,KS,R,Member,R,committee_memberships_SLIN.xml,Jerry Moran,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Jon,Ossoff,GA,D,Member,R,committee_memberships_SLIN.xml,Jon Ossoff,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Jack,Reed,RI,D,Ex Officio,R,committee_memberships_SLIN.xml,Jack Reed,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,James  E.,Risch,ID,R,Member,R,committee_memberships_SLIN.xml,James  E. Risch,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Mike,Rounds,SD,R,Member,R,committee_memberships_SLIN.xml,Mike Rounds,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Charles E.,Schumer,NY,D,Ex Officio,R,committee_memberships_SLIN.xml,Charles E. Schumer,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,John,Thune,SD,R,Ex Officio,R,committee_memberships_SLIN.xml,John Thune,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Mark R.,Warner,VA,D,Vice Chairman,R,committee_memberships_SLIN.xml,Mark R. Warner,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Roger F.,Wicker,MS,R,Ex Officio,R,committee_memberships_SLIN.xml,Roger F. Wicker,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Ron,Wyden,OR,D,Member,R,committee_memberships_SLIN.xml,Ron Wyden,Select Committee on Intelligence,Main Committee,Main Committee
SLIN,Select Committee on Intelligence,SLIN00,,MAIN,Todd,Young,IN,R,Member,R,committee_memberships_SLIN.xml,Todd Young,Select Committee on Intelligence,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Angela D.,Alsobrooks,MD,D,Member,R,committee_memberships_SPAG.xml,Angela D. Alsobrooks,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Kirsten E.,Gillibrand,NY,D,Ranking,R,committee_memberships_SPAG.xml,Kirsten E. Gillibrand,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Jon,Husted,OH,R,Member,R,committee_memberships_SPAG.xml,Jon Husted,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Ron,Johnson,WI,R,Member,R,committee_memberships_SPAG.xml,Ron Johnson,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,James C.,Justice,WV,R,Member,R,committee_memberships_SPAG.xml,James C. Justice,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Mark,Kelly,AZ,D,Member,R,committee_memberships_SPAG.xml,Mark Kelly,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Andy,Kim,NJ,D,Member,R,committee_memberships_SPAG.xml,Andy Kim,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,David,McCormick,PA,R,Member,R,committee_memberships_SPAG.xml,David McCormick,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Ashley,Moody,FL,R,Member,R,committee_memberships_SPAG.xml,Ashley Moody,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Rick,Scott,FL,R,Chairman,R,committee_memberships_SPAG.xml,Rick Scott,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Tommy,Tuberville,AL,R,Member,R,committee_memberships_SPAG.xml,Tommy Tuberville,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Raphael G.,Warnock,GA,D,Member,R,committee_memberships_SPAG.xml,Raphael G. Warnock,Special Committee on Aging,Main Committee,Main Committee
SPAG,Special Committee on Aging,SPAG00,,MAIN,Elizabeth,Warren,MA,D,Member,R,committee_memberships_SPAG.xml,Elizabeth Warren,Special Committee on Aging,Main Committee,Main Committee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Cory A.,Booker,NJ,D,Ranking,R,committee_memberships_SSAF.xml,Cory A. Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,John,Boozman,AR,R,Ex Officio,R,committee_memberships_SSAF.xml,John Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Richard J.,Durbin,IL,D,Member,R,committee_memberships_SSAF.xml,Richard J. Durbin,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,John,Fetterman,PA,D,Member,R,committee_memberships_SSAF.xml,John Fetterman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Chuck,Grassley,IA,R,Member,R,committee_memberships_SSAF.xml,Chuck Grassley,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Cindy,Hyde-Smith,MS,R,Chairman,R,committee_memberships_SSAF.xml,Cindy Hyde-Smith,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Amy,Klobuchar,MN,D,Ex Officio,R,committee_memberships_SSAF.xml,Amy Klobuchar,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Mitch,McConnell,KY,R,Member,R,committee_memberships_SSAF.xml,Mitch McConnell,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Jerry,Moran,KS,R,Member,R,committee_memberships_SSAF.xml,Jerry Moran,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Adam B.,Schiff,CA,D,Member,R,committee_memberships_SSAF.xml,Adam B. Schiff,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Elissa,Slotkin,MI,D,Member,R,committee_memberships_SSAF.xml,Elissa Slotkin,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,John,Thune,SD,R,Member,R,committee_memberships_SSAF.xml,John Thune,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",SSAF13,Tommy,Tuberville,AL,R,Member,R,committee_memberships_SSAF.xml,Tommy Tuberville,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Michael F.,Bennet,CO,D,Ranking,R,committee_memberships_SSAF.xml,Michael F. Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,John,Boozman,AR,R,Ex Officio,R,committee_memberships_SSAF.xml,John Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Joni,Ernst,IA,R,Member,R,committee_memberships_SSAF.xml,Joni Ernst,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,John,Hoeven,ND,R,Member,R,committee_memberships_SSAF.xml,John Hoeven,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Cindy,Hyde-Smith,MS,R,Member,R,committee_memberships_SSAF.xml,Cindy Hyde-Smith,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,James C.,Justice,WV,R,Member,R,committee_memberships_SSAF.xml,James C. Justice,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Amy,Klobuchar,MN,D,Ex Officio,R,committee_memberships_SSAF.xml,Amy Klobuchar,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Ben Ray,Lujan,NM,D,Member,R,committee_memberships_SSAF.xml,Ben Ray Lujan,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Roger,Marshall,KS,R,Chairman,R,committee_memberships_SSAF.xml,Roger Marshall,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Adam B.,Schiff,CA,D,Member,R,committee_memberships_SSAF.xml,Adam B. Schiff,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,John,Thune,SD,R,Member,R,committee_memberships_SSAF.xml,John Thune,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Raphael G.,Warnock,GA,D,Member,R,committee_memberships_SSAF.xml,Raphael G. Warnock,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",SSAF14,Peter,Welch,VT,D,Member,R,committee_memberships_SSAF.xml,Peter Welch,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,Cory A.,Booker,NJ,D,Member,R,committee_memberships_SSAF.xml,Cory A. Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,John,Boozman,AR,R,Ex Officio,R,committee_memberships_SSAF.xml,John Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,John,Fetterman,PA,D,Member,R,committee_memberships_SSAF.xml,John Fetterman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,Chuck,Grassley,IA,R,Member,R,committee_memberships_SSAF.xml,Chuck Grassley,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,John,Hoeven,ND,R,Member,R,committee_memberships_SSAF.xml,John Hoeven,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,James C.,Justice,WV,R,Member,R,committee_memberships_SSAF.xml,James C. Justice,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,Amy,Klobuchar,MN,D,Ex Officio,R,committee_memberships_SSAF.xml,Amy Klobuchar,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,Ben Ray,Lujan,NM,D,Ranking,R,committee_memberships_SSAF.xml,Ben Ray Lujan,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,Roger,Marshall,KS,R,Member,R,committee_memberships_SSAF.xml,Roger Marshall,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,Mitch,McConnell,KY,R,Chairman,R,committee_memberships_SSAF.xml,Mitch McConnell,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
SSAF,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,Tina,Smith,MN,D,Member,R,committee_memberships_SSAF.xml,Tina Smith,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",Subcommittee
